整合編號,食品分類,樣品名稱,俗名,樣品英文名稱,品名描述,廢棄率(%),熱量-成分值(kcal),修正熱量-成分值(kcal),水分-成分值(g),粗蛋白-成分值(g),粗脂肪-成分值(g),飽和脂肪-成分值(g),灰分-成分值(g),總碳水化合物-成分值(g),膳食纖維-成分值(g),糖質總量-成分值(g),葡萄糖-成分值(g),果糖-成分值(g),半乳糖-成分值(g),麥芽糖-成分值(g),蔗糖-成分值(g),乳糖-成分值(g),鈉-成分值(mg),鉀-成分值(mg),鈣-成分值(mg),鎂-成分值(mg),鐵-成分值(mg),鋅-成分值(mg),磷-成分值(mg),銅-成分值(ug),維生素A總量(IU)-成分值(I.U.),視網醇當量(RE)-成分值(ug),α-胡蘿蔔素-成分值(ug),β-胡蘿蔔素-成分值(ug),視網醇-成分值(ug),α-維生素E當量(α-TE)-成分值(mg),維生素E總量-成分值(mg),α-生育醇-成分值(mg),β-生育醇-成分值(mg),γ-生育醇-成分值(mg),δ-生育醇-成分值(mg),維生素B1-成分值(mg),維生素B2-成分值(mg),菸鹼素-成分值(mg),維生素B6-成分值(mg),維生素B12-成分值(ug),葉酸-成分值(ug),維生素C-成分值(mg),脂肪酸S總量-成分值(%),酪酸(4:0)-成分值(%),己酸(6:0)-成分值(%),辛酸(8:0)-成分值(%),癸酸(10:0)-成分值(%),月桂酸(12:0)-成分值(%),十三酸(13:0)-成分值(%),肉豆蔻酸(14:0)-成分值(%),十五酸(15:0)-成分值(%),棕櫚酸(16:0)-成分值(%),十七酸(17:0)-成分值(%),硬脂酸(18:0)-成分值(%),十九酸(19:0)-成分值(%),花生酸(20:0)-成分值(%),山酸(22:0)-成分值(%),廿四酸(24:0)-成分值(%),脂肪酸M總量-成分值(%),肉豆蔻烯酸(14:1)-成分值(%),棕櫚烯酸(16:1)-成分值(%),油酸(18:1)-成分值(%),鱈烯酸(20:1)-成分值(%),芥子酸(22:1)-成分值(%),脂肪酸P總量-成分值(%),亞麻油酸(18:2)-成分值(%),次亞麻油酸(18:3)-成分值(%),十八碳四烯酸(18:4)-成分值(%),花生油酸(20:4)-成分值(%),廿碳五烯酸(20:5)-成分值(%),廿二碳五烯酸(22:5)-成分值(%),廿二碳六烯酸(22:6)-成分值(%),其他脂肪酸-成分值(%),反式脂肪-成分值(mg),水解胺基酸總量-成分值(mg),天門冬胺酸(Asp)-成分值(mg),酥胺酸(Thr)-成分值(mg),絲胺酸(Ser)-成分值(mg),麩胺酸(Glu)-成分值(mg),脯胺酸(Pro)-成分值(mg),甘胺酸(Gly)-成分值(mg),丙胺酸(Ala)-成分值(mg),胱胺酸(Cys)-成分值(mg),纈胺酸(Val)-成分值(mg),甲硫胺酸(Met)-成分值(mg),異白胺酸(Ile)-成分值(mg),白胺酸(Leu)-成分值(mg),酪胺酸(Tyr)-成分值(mg),苯丙胺酸(Phe)-成分值(mg),離胺酸(Lys)-成分值(mg),組胺酸(His)-成分值(mg),精胺酸(Arg)-成分值(mg),色胺酸(Trp)-成分值(mg),膽固醇-成分值(mg),酒精含量-成分值(g)
A00901,穀物類,去筋麵粉,澄粉,Non-glutinous flour,去筋,,354.9493,353.9987,13.643,0.181,0.1165,0,0.3152,85.7443,0.4484,0,0,0,,0,0,0,28.606,9.027,6.5847,2.3713,0,0,38.2861,,0,0,,0,,0.0201,0.039,0.018,0,0.021,0,0.01,0,0.097,0.023,,17.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
A01001,穀物類,低筋麵粉,,Low-gluten flour; Cake flour; Patent flour,低筋,,363.6075,359.4091,12.045,8.0855,1.175,0.2458,0.5007,78.1938,1.9804,,,,,,,,1.43,147.535,12.38,26.44,1.19,0.599,74.845,,0,0,0,0,,0.4886,1.005,0.355,0.23,0.415,0.005,0.1695,0.035,0.875,0.0746,,40,5.11,20.918,0,0,0,0,0,0,0.0893,0,19.3478,0,1.1042,0,0.1445,0,0.2322,15.2276,0,0.1399,14.4002,0.6875,0,63.8538,60.099,3.7548,0,0,0,0,0,0,,8606.5971,397.525,247.48,406.885,2856.64,1071.065,317.24,285.465,329.1621,376.135,43.24,298.95,596.685,215.065,381.98,207.56,198.49,321.53,55.5,,
A01101,穀物類,中筋麵粉,,Medium-gluten flour; Wheat flour: medium protein,中筋,,361.0283,357.1774,12.635,11.4535,1.31,0.2763,0.5043,74.0972,1.8165,,,,,,,,3.65,124.835,11.67,28.77,0.915,0.6825,75.86,,0,0,0,0,,0.3335,0.845,0.225,0.155,0.465,0,0.123,0.075,1.01,0.0818,,43.8,5.08,21.0886,0,0,0,0,0,0,0.0937,0,19.1661,0,1.1748,0,0.1527,0.2601,0.2412,16.1348,0,0.1277,15.2884,0.7187,0,62.776,59.3297,3.4463,0,0,0,0,0,0,,13036.8373,509.97,335.34,579.78,4576.1,1690.73,452.835,383.64,441.7523,525.205,148.96,455.74,897.835,389.02,625.91,267.37,282.335,474.315,0,,
A01201,穀物類,高筋麵粉,,High-gluten flour; Seat of honor flour,高筋,,361.5771,357.5894,12.25,12.945,1.19,0.2538,0.5563,73.0587,1.881,,,,,,,,0.8,107.835,11.195,33.455,1.165,0.8525,81.325,,0,0,0,0,,0.2861,0.705,0.205,0.105,0.39,0.005,0.1175,0.03,1.125,0.0745,,48.6,4.985,21.3298,0,0,0,0,0,0,0.0875,0,19.311,0,1.2426,0,0.158,0.2776,0.2531,16.1069,0,0.1236,15.2707,0.7126,0,62.5627,59.4199,3.1428,0,0,0,0,0,0,,14070.0744,590.785,381.645,657.315,4995.72,1879.225,510.61,415.235,487.9994,587.37,57.77,473.49,931.88,348.165,617.435,286.365,318.495,457.76,72.81,,
A01301,穀物類,全麥麵粉,,Whole wheat flour,全麥,,359.2716,342.2919,12.736,12.968,1.706,0.3209,1.161,71.429,8.0093,0.3445,0,0,,0,0.3445,0,1.6383,276.5703,22.712,96.5543,3.3687,2.3437,251.0123,,0,0,0,0,,0.8739,2.5064,0.565,0.385,1.5487,0.0077,0.3267,0.0673,4.0897,0.2427,,71.0957,7.1357,18.8103,0,0,0,0,0.0063,0,0.1116,0.063,16.8442,0.0667,1.1745,0,0.1692,0.1871,0.1877,18.1022,0,0.0973,17.243,0.7619,0,62.9503,59.2511,3.6992,0,0,0,0,0,0.1373,,14293.7343,651.4847,392.4113,639.5083,4859.6823,1629.0113,567.2933,461.5327,296.6648,597.2693,144.7753,515.403,1008.3577,423.8647,665.7643,362.5323,329.356,561.027,187.796,,
A01401,穀物類,雜糧中筋麵粉,,,,,360.9425,349.5735,11.652,13.113,2.2865,0.6377,0.9705,71.978,5.6845,0.835,0.176,0,,0.395,0.264,0,1.906,207.31,23.678,52.348,1.769,1.666,174.852,20.71,0,0,,0,,0.8668,1.999,0.654,0.261,1.084,0,0.335,0.0822,2.2305,0.083,,63.104,2.935,27.89,0,0,0,0,0,0,0,0,25.828,0,1.483,0,0,0,0.579,15.519,0,0,14.692,0.827,0,55.463,52.478,2.985,0,0,0,0,0,1.128,,11541.06,547.962,343.163,589.471,3979.587,1224.565,447.69,381.181,243.953,444.777,114.171,363.949,798.927,360.983,553.99,293.217,242.195,451.059,160.22,,
A01501,穀物類,雜糧高筋麵粉,,,,,360.2967,349.6557,12.421,14.288,2.7543,0.7869,0.9477,69.589,5.3205,1.054,0.215,0.106,,0.388,0.345,0,2.3,218.074,23.947,64.502,1.87,1.695,190.678,22.21,1.5099,0.151,,0.906,,0.8789,2.255,0.627,0.297,1.331,0,0.332,0.0397,2.6331,0.121,,61.379,9.503,28.571,0,0,0,0,0,0,0,0,25.882,0,1.452,0,0.415,0.452,0.37,16.159,0,0,15.545,0.614,0,53.668,51.005,2.663,0,0,0,0,0,1.602,,12437.114,553.689,360.19,632.875,4417.456,1376.192,480.648,404.523,251.817,475.727,0,396.59,866.734,398.739,618.75,306.476,263.6,481.711,151.397,,
A01601,穀物類,乾麵條,,Noodle: dried,,,356.6719,352.9601,10.82,11.4963,1.3691,0.4068,1.7234,74.5912,1.8559,2.392,0.205,0.061,,1.969,0.157,0,569.4277,101.429,649.3483,28.1463,0.814,0.8067,97.83,,0,0,0,0,,0.1409,0.3583,0.106,0.0413,0.181,0.03,0.1063,0.0267,0.9184,0.0497,,61.2543,0,29.716,0,0,0,0,0,0,0.245,0,26.732,0,2.132,0,0,0.332,0.275,15.688,0,0,14.973,0.475,0.24,54.596,52.082,2.514,0,0,0,0,0,0,,12076.9879,461.5227,310.4773,541.3933,4121.8313,1464.075,413.8947,351.219,729.816,464.1373,123.6383,414.2133,823.517,334.2727,562.7557,240.4,255.5863,419.7063,44.5317,,
A01602,穀物類,油麵條,油麵,Oil noodle,油麵,,361.4515,359.2127,9.026,11.4,1.2055,0.3623,2.118,76.2505,1.1194,1.583,0.2,0.047,,1.288,0.048,0,712.149,91.199,16.434,21.6925,0.832,0.7415,83.3595,,47.4673,4.7479,0,28.4815,,0.0812,0.272,0.052,0.024,0.196,0,0.067,0.0217,0.6614,0.051,,15.1865,0,30.057,0,0,0,0,0,0,0.215,0,27.231,0,1.86,0,0.168,0.346,0.237,14.236,0,0,13.831,0.405,0,55.706,53.222,2.484,0,0,0,0,0,0,,10772.994,480.033,324.856,326.896,2518.9825,1506.533,440.0315,372.802,923.589,479.0235,135.091,447.4905,889.847,351.405,589.291,247.3045,257.7395,411.5995,70.4795,,
A01603,穀物類,紅蘿蔔麵,,Noodle: carrot flavored,紅蘿蔔麵,,352.0976,347.1368,11.99,12.082,0.97,0.2159,1.1981,73.7599,2.4804,,,,,,,,368.03,122.96,4.88,28.705,1.13,0.72,117.18,,68.4889,6.8497,16.41,32.89,,2.299,2.65,2.27,0,0.28,0.1,0.119,0.017,1.076,0.0947,,33.9,8.06,22.2539,0,0,0,0,0,0,0,0,20.2287,0,1.2864,0,0.7388,0,0,16.3764,0,0,16.3764,0,0,61.3693,58.3703,2.999,0,0,0,0,0,0,,13240.8971,508.67,343.42,607.82,4666.61,1676.82,442.4,389.05,425.5471,522.83,139.38,460.86,947.5,353.31,681.46,260.42,258.41,446.39,110,,
