整合編號,食品分類,樣品名稱,俗名,樣品英文名稱,品名描述,廢棄率(%),熱量-成分值(kcal),修正熱量-成分值(kcal),水分-成分值(g),粗蛋白-成分值(g),粗脂肪-成分值(g),飽和脂肪-成分值(g),灰分-成分值(g),總碳水化合物-成分值(g),膳食纖維-成分值(g),糖質總量-成分值(g),葡萄糖-成分值(g),果糖-成分值(g),半乳糖-成分值(g),麥芽糖-成分值(g),蔗糖-成分值(g),乳糖-成分值(g),鈉-成分值(mg),鉀-成分值(mg),鈣-成分值(mg),鎂-成分值(mg),鐵-成分值(mg),鋅-成分值(mg),磷-成分值(mg),銅-成分值(ug),維生素A總量(IU)-成分值(I.U.),視網醇當量(RE)-成分值(ug),α-胡蘿蔔素-成分值(ug),β-胡蘿蔔素-成分值(ug),視網醇-成分值(ug),α-維生素E當量(α-TE)-成分值(mg),維生素E總量-成分值(mg),α-生育醇-成分值(mg),β-生育醇-成分值(mg),γ-生育醇-成分值(mg),δ-生育醇-成分值(mg),維生素B1-成分值(mg),維生素B2-成分值(mg),菸鹼素-成分值(mg),維生素B6-成分值(mg),維生素B12-成分值(ug),葉酸-成分值(ug),維生素C-成分值(mg),脂肪酸S總量-成分值(%),酪酸(4:0)-成分值(%),己酸(6:0)-成分值(%),辛酸(8:0)-成分值(%),癸酸(10:0)-成分值(%),月桂酸(12:0)-成分值(%),十三酸(13:0)-成分值(%),肉豆蔻酸(14:0)-成分值(%),十五酸(15:0)-成分值(%),棕櫚酸(16:0)-成分值(%),十七酸(17:0)-成分值(%),硬脂酸(18:0)-成分值(%),十九酸(19:0)-成分值(%),花生酸(20:0)-成分值(%),山酸(22:0)-成分值(%),廿四酸(24:0)-成分值(%),脂肪酸M總量-成分值(%),肉豆蔻烯酸(14:1)-成分值(%),棕櫚烯酸(16:1)-成分值(%),油酸(18:1)-成分值(%),鱈烯酸(20:1)-成分值(%),芥子酸(22:1)-成分值(%),脂肪酸P總量-成分值(%),亞麻油酸(18:2)-成分值(%),次亞麻油酸(18:3)-成分值(%),十八碳四烯酸(18:4)-成分值(%),花生油酸(20:4)-成分值(%),廿碳五烯酸(20:5)-成分值(%),廿二碳五烯酸(22:5)-成分值(%),廿二碳六烯酸(22:6)-成分值(%),其他脂肪酸-成分值(%),反式脂肪-成分值(mg),水解胺基酸總量-成分值(mg),天門冬胺酸(Asp)-成分值(mg),酥胺酸(Thr)-成分值(mg),絲胺酸(Ser)-成分值(mg),麩胺酸(Glu)-成分值(mg),脯胺酸(Pro)-成分值(mg),甘胺酸(Gly)-成分值(mg),丙胺酸(Ala)-成分值(mg),胱胺酸(Cys)-成分值(mg),纈胺酸(Val)-成分值(mg),甲硫胺酸(Met)-成分值(mg),異白胺酸(Ile)-成分值(mg),白胺酸(Leu)-成分值(mg),酪胺酸(Tyr)-成分值(mg),苯丙胺酸(Phe)-成分值(mg),離胺酸(Lys)-成分值(mg),組胺酸(His)-成分值(mg),精胺酸(Arg)-成分值(mg),色胺酸(Trp)-成分值(mg),膽固醇-成分值(mg),酒精含量-成分值(g)
E05310,蔬菜類,有機小白菜(10月取樣),"白菜,青菜,散葉白菜,無心菜,菘,不結球白菜,土白菜",Pak-choi:organic,"有機,10月取樣",,12.9507,10.9443,95.68,1.347,0.24,,0.8323,1.9007,1.056,,,,,,,,23.03,294.44,145.07,16.98,1.753,0.486,27.11,,2829.3535,283.0033,0,1697.68,,2.012,2.06,2,0.02,0.04,0,0.045,0.089,0.681,0.0963,,,31.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05311,蔬菜類,有機小白菜(1月取樣),"白菜,青菜,散葉白菜,無心菜,菘,不結球白菜,土白菜",Pak-choi:organic,"有機,1月取樣",,9.2122,6.2911,96.15,1.842,0.17,0,1.0782,0.7598,1.5374,,,,,,,,79.227,218.173,132.967,18.316,1.2222,0.5593,29.711,,1192.5356,119.2822,0,715.55,,0.517,0.58,0.51,0,0.07,0,0.049,0.069,0.66,0.065,,,19.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
E05312,蔬菜類,有機小白菜(4月取樣),"白菜,青菜,散葉白菜,無心菜,菘,不結球白菜,土白菜",Pak-choi:organic,"有機,4月取樣",,14.4059,12.1759,95.039,1.254,0.195,,1.0791,2.4329,1.1737,,,,,,,,39.6322,320.0733,135.5087,23.4245,1.2304,0.3292,36.5593,,1893.0743,189.3529,0,1135.89,,0.7761,0.84,0.77,0,0.06,0.01,0.032,0.095,0.715,0.0996,,,21.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05313,蔬菜類,有機小白菜(7月取樣),"白菜,青菜,散葉白菜,無心菜,菘,不結球白菜,土白菜",Pak-choi:organic,"有機,7月取樣",6.1,10.9009,8.4181,95.958,1.258,0.097,,0.9452,1.7418,1.3067,,,,,,,,32.9271,259.8853,127.3978,11.515,0.6679,0.2318,22.3459,,249.0734,24.9133,0,149.45,,0.902,0.95,0.89,0.02,0.04,0,0.041,0.068,0.648,0.192,,,19.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05314,蔬菜類,珍珠小白菜,珍珠白菜,Pak-choi,珍珠小白菜,14.8,11.1145,7.9234,95.578,1.497,0.0718,0.0354,1.1631,1.6901,1.6795,0.081,0.081,0,,0,0,0,4.039,392.749,138.125,23.846,0.81,0.421,47.334,,1720.6328,172.1046,,1032.421,,0.8837,1.025,0.839,0.087,0.099,0,0.047,0.0665,0.7054,0.085,,,11.137,49.248,0,0,0,0,1.287,1.098,0,1.412,35.083,0.521,7.064,0,0,0.873,1.91,22.608,0,2.141,20.467,0,0,21.051,6.248,14.803,0,0,0,0,0,7.093,,,,,,,,,,,,,,,,,,,,,,
E05401,蔬菜類,油菜心,"油菜花(苔),油菜花苔,苔芥,苔菜,油菜嬰",,,,30.9035,26.5335,91.1,3.2,0.85,,0.9,3.95,2.3,,,,,,,,21,240,92,23,1.8,0.5,57,,14224.431,1422.783,30,8520,,,,,,,,0.04,0.33,0.8,0.012,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05501,蔬菜類,油菜,"油菜心,胡菜,寒菜,青油菜,苔菜,苔芥,蕓苔,油菜子",Rape; cole ,,,12.0508,9.0538,95.8467,1.419,0.2325,0.0928,0.8641,1.6377,1.5774,0.546,0.387,0.159,,0,0,0,72.762,219.8318,87.8881,16.4354,1.0181,0.5509,31.5187,25.48,3084.8533,308.5594,0,1850.986,,0.6901,0.769,0.673,0.025,0.071,0,0.036,0.0784,0.5549,0.0737,,39.4435,25.0077,39.896,0,0,0,0,0,0,0,0,33.708,0,6.188,0,0,0,0,13.076,0,0,13.076,0,0,47.029,9.809,37.22,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
E056,蔬菜類,青江菜平均值,"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Ts'ing kang paak,,15.1,12.7046,9.9833,95.5592,1.3342,0.1396,28.9181,0.9052,2.0618,1.4323,0.371,0.371,0,,0,0,0,47.0409,224.6311,101.6196,22.0713,0.9953,0.3655,32.0255,0,1321.6947,132.2012,0,793.0485,,0.3135,0.3395,0.3068,0.0115,0.0212,0,0.0441,0.0734,0.6105,0.1293,,72.499,28.4753,28.9181,0,0,0.789,0,2.031,0,0.701,0,19.9408,0,3.5734,0,0.7535,0.596,0.5335,25.2919,0,1.3941,23.3033,0.5945,0,45.7904,28.53,17.2604,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
E05601,蔬菜類,土植青江菜(10月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard,"土植,10月取樣",,11.8552,8.184,95.91,1.425,0.21,,0.8232,1.6318,1.9322,,,,,,,,117.11,85.79,122.07,19.6,0.579,0.446,27.22,,475.981,47.6095,0,285.6,,0.542,0.59,0.52,0.05,0.02,0,0.046,0.087,0.581,0.0671,,,42.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05602,蔬菜類,土植青江菜(1月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard,"土植,1月取樣",,10.1525,8.0114,96.36,1.307,0.049,,0.664,1.62,1.1269,,,,,,,,73.07,113.996,72.458,13.43,0.9723,0.4439,32.717,,1211.8349,121.2126,0,727.13,,0.253,0.28,0.25,0,0.03,0,0.04,0.041,0.596,0.044,,,16.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05603,蔬菜類,土植青江菜(3月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard,"土植,3月取樣",,11.0584,7.128,96.359,0.353,0.1542,0.0732,0.8664,2.2674,2.0686,0.371,0.371,0,,0,0,0,62.981,221.538,80.703,17.445,0.837,0.251,37.632,0,1667.385,166.7785,,1000.471,,0.4105,0.433,0.408,0,0.025,0,0.042,0.0754,0.4137,0.1,,64.917,24.248,47.497,0,0,1.578,0,4.062,0,1.402,0,32.709,0,5.047,0,1.507,1.192,0,9.259,0,0,8.07,1.189,0,43.245,9.245,34,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
E05604,蔬菜類,土植青江菜(4月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard,"土植,4月取樣",,10.7355,8.8606,96.365,0.96,0.125,,0.7105,1.8395,0.9868,,,,,,,,110.1956,86.3894,91.1111,22.5301,1.1085,0.3143,32.2656,,662.3902,66.2549,0,397.45,,0.121,0.13,0.12,0,0.01,0,0.031,0.063,0.377,0.116,,,17.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05605,蔬菜類,土植青江菜(7月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard,"土植,7月取樣",16,14.8163,12.4403,95.13,1.507,0.118,,0.7116,2.5334,1.2505,,,,,,,,92.3846,107.5499,94.5431,12.8587,0.7968,0.283,31.3781,,1559.9209,156.0295,0,935.99,,0.181,0.19,0.18,0,0.01,0,0.039,0.061,0.553,0.224,,,24.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05606,蔬菜類,水植青江菜(10月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard,"水植,10月取樣",,10.943,7.4202,96.02,1.371,0.22,0.0227,0.9763,1.4127,1.8541,,,,,,,,14.3,307.68,104.34,35.92,1.324,0.473,33.44,,558.7943,55.8928,0,335.29,,0.567,0.63,0.54,0.06,0.03,0,0.046,0.095,0.599,0.0791,,,34.96,10.3392,0,0,0,0,0,0,0,0,7.1725,0,2.0998,0,0,0,1.0669,41.3247,0,2.7881,38.5366,0,0,48.3357,47.8149,0.5208,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
E05607,蔬菜類,水植青江菜(1月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard,"水植,1月取樣",,12.4853,9.8156,95.73,1.243,0.007,,0.6687,2.3513,1.4051,,,,,,,,5.659,200.272,66.82,25.198,1.6685,0.2368,30.543,,1069.9239,107.0181,0,641.98,,0.333,0.36,0.33,0,0.03,0,0.034,0.035,0.62,0.066,,,19.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05608,蔬菜類,水植青江菜(4月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard,"水植,4月取樣",,14.3465,11.9323,95.004,1.397,0.16,,1.0423,2.3967,1.2706,,,,,,,,11.6504,376.2009,91.8582,39.3188,0.8298,0.1386,34.958,,2449.2187,244.9807,0,1469.59,,0.232,0.25,0.23,0,0.02,0,0.047,0.071,0.684,0.121,,,37.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05609,蔬菜類,水植青江菜(7月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard,"水植,7月取樣",14.4,13.9288,11.8198,94.827,1.651,0.129,,1.2075,2.1855,1.11,,,,,,,,12.7177,376.5305,92.0161,31.8194,0.709,0.1593,34.5202,,1364.0954,136.4423,0,818.49,,0.342,0.36,0.34,0,0.02,0,0.047,0.067,0.603,0.217,,,27.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05610,蔬菜類,有機青江菜(10月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard:organic,"有機,10月取樣",,9.4201,7.097,96.49,1.274,0.22,,0.9286,1.0874,1.2227,,,,,,,,11.25,224.75,115.88,12.94,0.7,0.824,32.4,,145.1942,14.5229,0,87.12,,0.338,0.38,0.32,0.04,0.02,0,0.044,0.078,0.567,0.0749,,,18.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05611,蔬菜類,有機青江菜(1月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard:organic,"有機,1月取樣",,9.8742,7.3326,96.07,1.531,0.003,,0.8991,1.4969,1.3377,,,,,,,,37.815,180.232,104.387,14.376,1.6444,0.4939,25.944,,1417.81,141.815,0,850.72,,0.252,0.27,0.25,0,0.02,0,0.042,0.035,0.801,0.096,,,17.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05612,蔬菜類,有機青江菜(4月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard:organic,"有機,4月取樣",,14.8681,12.6151,94.866,1.382,0.176,,1.0698,2.5062,1.1858,,,,,,,,40.083,279.1989,143.0383,21.5008,0.8033,0.3421,33.0711,,1972.7044,197.3178,0,1183.67,,0.172,0.19,0.17,0,0.02,0,0.042,0.095,0.688,0.165,,66.67,35.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05613,蔬菜類,有機青江菜(7月取樣),"青江白菜,青梗白菜,湯匙菜,大頭白菜,江門白菜,清江菜",Chinese Mustard:organic,"有機,7月取樣",14.9,20.6762,17.1262,93.139,1.944,0.243,,1.1999,3.4741,1.8684,,,,,,,,22.3153,360.0771,141.8303,19.9895,0.9659,0.3457,30.2419,,2626.7783,262.7409,0,1576.13,,0.332,0.35,0.33,0,0.02,0,0.073,0.151,0.854,0.311,,85.91,54.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05701,蔬菜類,塔菇菜,"烏塌菜,塌棵菜",,,,10.6053,7.1691,95.545,2.738,0.1938,,1.0592,0.464,1.8085,0,0,0,,0,0,0,26.907,383.181,124.741,31.987,1.069,0.43,53.998,,2788.5101,278.9179,,1673.173,,1.43,1.646,1.406,0,0.24,0,0.056,0.0919,0.6081,0.107,,53.631,5.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576.706,211.999,71.262,73.413,225.425,60.196,85.618,92.215,8.209,104.254,3.049,70.341,124.235,57.25,101.657,120.47,51.703,106.774,8.636,,
E05801,蔬菜類,廣島野菜,,,,7.3,7.7442,3.6725,96.551,2.009,0.1413,,0.9659,0.3328,2.143,0.205,0.205,0,,0,0,0,91.306,153.519,127.893,36.611,0.63,0.38,47.412,,1705.0568,170.5466,,1023.075,,1.1444,1.211,1.137,0,0.074,0,0.054,0.0708,0.6616,0.116,,42.002,15.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E059,蔬菜類,結球白菜平均值,"大白菜,黃芽菜,包心白菜,卷心白菜,山東白菜,結球白菜","Chinese cabbage, Celery cabbage",,14.9,16.7912,14.9981,95.0944,1.1926,0.2944,43.306,0.5461,2.8726,0.9438,2.283,1.192,1.091,,0,0,0,23.8718,167.1282,40.0423,9.9125,0.3686,0.2483,32.7255,38.6,33.6466,3.3655,0,20.1888,,0.1205,0.128,0.1168,0.0088,0.0025,0,0.0278,0.0286,0.3956,0.0918,,43.03,16.493,43.306,0,0,0,0,0,0,0,0,35.823,0,4.022,0,0,0,3.461,15.454,0,0,15.454,0,0,41.24,14.819,26.421,0,0,0,0,0,0,,825.489,106.035,37.163,37.559,244.208,8.568,36.2,63.685,6.298,36.55,0.346,27.82,43.59,20.435,31.456,56.05,19.678,49.848,0,,
E05901,蔬菜類,煙台白菜,"大白菜,黃芽菜,包心白菜,卷心白菜,山東白菜,結球白菜(包頭蓮)","Chinese cabbage, ",長卵圓形,,14.2885,12.0771,95.76,1.296,0.255,,0.4432,2.2458,1.1639,,,,,,,,29.82,118.925,33.815,8.23,0.2925,0.2705,28.03,,91.663,9.1685,0,55,,0.094,0.1,0.09,0.01,0,0,0.021,0.026,0.3865,0.072,,,18.0335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05902,蔬菜類,迷你竹筍白菜,"大白菜,黃芽菜,包心白菜,卷心白菜,山東白菜,結球白菜",Chinese cabbage,迷你竹筍白菜,22.6,18.9427,18.1848,94.201,1.256,0.0891,0.0386,0.6318,3.8221,0.3989,2.283,1.192,1.091,,0,0,0,4.222,219.671,33.759,8.94,0.209,0.148,31.797,38.6,12.9245,1.2928,,7.755,,0.112,0.112,0.112,0,0,0,0.024,0.0449,0.3276,0.133,,43.03,13.532,43.306,0,0,0,0,0,0,0,0,35.823,0,4.022,0,0,0,3.461,15.454,0,0,15.454,0,0,41.24,14.819,26.421,0,0,0,0,0,0,,825.489,106.035,37.163,37.559,244.208,8.568,36.2,63.685,6.298,36.55,0.346,27.82,43.59,20.435,31.456,56.05,19.678,49.848,0,,
E05903,蔬菜類,翠玉白菜,"天津白菜,直筒白菜,長筒白菜,竹筒白菜","Chinese cabbage, ",圓筒形,,19.4448,17.1916,94.91,1.0345,0.68,,0.544,2.8315,1.1859,,,,,,,,47.795,158.44,41.835,11.86,0.486,0.2365,36.385,,13.3328,1.3336,0,8,,0.141,0.15,0.14,0,0.01,0,0.036,0.013,0.4065,0.0533,,,17.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05904,蔬菜類,包心白菜,"大白菜,黃芽菜,包心白菜,卷心白菜,山東白菜,結球白菜","Chinese cabbage, ",橢圓形,7.2,14.4889,12.539,95.5067,1.1837,0.1533,,0.5654,2.5909,1.0263,,,,,,,,13.65,171.4767,50.76,10.62,0.487,0.338,34.69,,16.666,1.667,0,10,,0.135,0.15,0.125,0.025,0,0,0.0303,0.0303,0.4617,0.109,,,17.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06001,蔬菜類,白菜芽,娃娃菜,,,7,54.1636,50.9371,84.9803,2.5663,0.3297,0.1675,0.6672,11.4565,1.6982,1.1621,0.6667,0.4954,,0,0,0,23.5733,263.1237,45.3243,16,0.4467,0.4307,44.9683,4.17,35.9719,3.5981,0,21.584,,0.5489,0.5925,0.5335,0.0315,0.0275,0,0.072,0.0571,1.0726,0.1185,,12.338,22.186,50.817,0,0,0,0,0,0,2.342,0,35.687,0,6.377,0,2.126,2.144,2.141,16.17,0,0,14.075,2.095,0,30.253,8.12,22.133,0,0,0,0,0,2.762,,1683.481,218.46,79.374,75.221,454.33,37.296,67.822,96.506,14.452,73.22,1.396,59.192,91.623,38.577,69.232,113.29,49.45,135.867,8.173,,
E06101,蔬菜類,白鳳菜,白蓊菜,Edible Gynura,,,27.308,21.038,91.5,2,0.4,,1.3,4.8,3.3,,,,,,,,28,380,82,41,1.32,0.38,42,,5733.104,573.448,0,3440,,,,,,,,0.057,0.85,0.76,0.0259,,,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06201,蔬菜類,紅鳳菜,"紅蓊菜,紅菜,紅葉,紫背天葵,雙色三七草,天青地紅,地黃菜,腳目草",Edible Gynura,,46.6,22.4936,17.5698,92.6835,2.115,0.3801,,1.2904,3.531,2.5915,,,,,,,,13.2643,312.2467,121.7879,47.5531,5.9693,0.4849,29.0716,,10128.6373,1013.1053,30,6062.4255,,0.7632,0.96,0.68,0.19,0.07,0.02,0.033,0.1205,0.364,0.0495,,,9.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1691.342,228.321,85.352,78.235,182.447,85.048,104.36,114.123,11.65,103.415,3.806,86.542,153.597,78.111,104.897,111.784,41.253,86.118,32.283,,
E06301,蔬菜類,豆瓣菜,"西洋菜,水芥(田/應/蕹)菜,無心芥(菜),廣東芥菜,微子蔊菜,風花菜,水生山葵菜,麥藍菜,角菜",Watercress,,,20.5147,16.7907,93.06,2.17,0.29,,1.3,3.18,1.96,,,,,,,,45,340,98,20,2.28,0.57,56,,6883.058,688.471,0,4130,,,,,,,,0.079,0.11,0.16,0.0527,,,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06401,蔬菜類,明日葉,"鹹草,明日草,長壽草,八丈草,還陽草,珍立草,海峰人參,天賜草",,青莖,,56.7617,45.117,84.465,1.434,0.7918,0.2679,1.4176,11.8916,6.1288,3.07,1.428,1.642,,0,0,0,4.066,583.153,242.245,21.603,1.518,0.451,53.772,,2082.8417,208.3342,,1249.755,,0.8537,1.034,0.825,0.026,0.183,0,0.373,0.1832,0.9491,0.109,,,39.245,33.84,0,0,0,0,0.889,0,1.793,0,20.2,0.373,3.278,0,2.072,2.058,3.177,16.422,0,0,16.422,0,0,49.406,32.003,17.403,0,0,0,0,0,0.334,,,,,,,,,,,,,,,,,,,,,,
E06501,蔬菜類,山芹菜,"鴨兒芹,三葉芹,香山芹,蜀芹,細本山芹菜,楚芹,莖芹,山芹,山輕芹",,,30,27.349,24.119,92.6,2.8,2.2,,1.99,0.41,1.7,,,,,,,,26,400,222,70,7.82,1.04,61,,7266.376,726.77,840,3940,,,,,,,,0.011,0.018,0.39,0.012,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E066,蔬菜類,芹菜平均值,"旱芹,藥芹,洋芹,白芹,塘蒿,和蘭鴨兒芹",Celery,,35.7,15.3823,12.8091,95.0036,0.7933,0.1288,,0.9395,3.135,1.3543,,,,,,,,65.4593,313.732,83.1907,11.5234,0.5923,0.3205,25.3308,,663.7191,66.3878,0,398.2474,,0.1265,0.14,0.12,0.015,0.005,0,0.015,0.0393,0.4135,0.0508,,,6.5883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06601,蔬菜類,芹菜(青梗),"旱芹,藥芹,洋芹,白芹,塘蒿,和蘭鴨兒芹",Celery,青梗,23.4,12.3242,10.1523,95.715,0.779,0.098,,0.9816,2.4264,1.1431,,,,,,,,46.2355,321.1945,85.6394,12.3807,0.0946,0.4158,27.6315,,969.1192,96.9352,,581.4948,,0.213,0.24,0.2,0.03,0.01,0,0.017,0.041,0.389,0.045,,,7.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06602,蔬菜類,芹菜(黃梗),"旱芹,藥芹,洋芹,白芹,塘蒿,和蘭鴨兒芹",Celery,黃梗,41.9,18.4403,15.4659,94.2922,0.8075,0.1595,,0.8973,3.8435,1.5655,,,,,,,,84.6831,306.2694,80.7419,10.666,1.0899,0.2251,23.03,,358.319,35.8405,0,215,,0.04,0.04,0.04,0,0,0,0.013,0.0375,0.438,0.0565,,,5.2745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06701,蔬菜類,西洋芹菜,"美國芹菜,洋芹菜,金白芹菜,巨無霸芹菜",Celery; American celery; Celeriac,,8,11.1594,8.1353,96.3205,0.3783,0.1761,0.0698,0.8958,2.2293,1.5916,1.318,0.718,0.6,,0,0,0,87.2866,239.9682,52.102,12.4844,0.676,0.1836,20.4834,24.34,129.5203,12.9551,0,77.7153,,0.1751,0.183,0.173,0.0035,0.0065,0,0.0243,0.0235,0.1497,0.097,,13.4695,4.906,39.618,0,0,0,0,0,0,0,0,31.463,0,5.144,0,0,3.011,0,3.098,0,0,3.098,0,0,57.284,45.208,12.076,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
E06801,蔬菜類,大心芥菜,"大心菜,菜心,大骨芥菜,大莖菜",Big stem mustard,大心芥菜,45.2,35.312,33.4987,95.697,0.9815,5.1275,,0.8034,0,0.9544,,,,,,,,12.4683,371.035,15.4608,7.8947,0.2478,0.4427,29.6958,,0,0,0,0,,0.052,0.07,0.05,0,0.02,0,0.037,0.0135,0.197,0.0569,,,16.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06901,蔬菜類,大芥菜,"芥菜,大心芥菜,大葉芥菜,長年菜,孤腰菜",Chinese mustard; Leaf mustard; Mustard,大芥菜,4,19.1256,16.1236,94.6,0.75,0.48,,0.8,3.37,1.58,,,,,,,,35,180,98,12,1.4,0.3,25,,666.64,66.68,0,400,,,,,,,,0.01,0.05,0.5,0.014,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07001,蔬菜類,包心芥菜,"包心刈菜,捲心芥菜",Leaf mustard,包心芥菜,27.2,17.1009,14.4926,95.2345,1.0105,0.4742,0.1459,0.5925,2.6883,1.3728,1.385,0.834,0.551,,0,0,0,14.5552,244.9848,60.2533,12.2957,0.3271,0.2665,23.481,,112.3955,11.2422,,67.44,,0.0766,0.0935,0.071,0.011,0.0115,0,0.0225,0.0204,0.2442,0.098,,,24.2495,30.774,0,0,0,0,0,0,0,0,25.838,0,4.936,0,0,0,0,25.5,0,1.958,23.542,0,0,43.726,14.336,29.39,0,0,0,0,0,0,,839.958,81.487,35.385,51.034,299.457,0,35.025,56.289,6.751,41.824,0,27.116,39.363,20.914,26.665,48.383,20.388,42.255,7.622,,
E071,蔬菜類,芥菜平均值,"刈菜,大菜,芥葉菜,雞冠菜,孤腰菜",Mustard green,,11.1,19.0774,15.9612,93.829,1.5375,0.1595,0,0.9576,3.5165,1.6401,0.7931,0.6553,0.1378,,0,0,0,8.7584,329.9637,80.0541,14.0925,1.2301,0.6029,32.2282,,1233.7727,123.4069,0,740.2933,,0.5931,0.6618,0.5648,0.0635,0.0285,0.005,0.039,0.0773,0.3353,0.1115,,,40.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1051.352,109.809,52.063,54.481,161.97,43.93,58.429,62.381,10.672,61.774,0,45.254,78.022,41.799,59.581,74.173,35.917,72.999,28.098,,
